City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Valparaiso,CL,60.8,clear sky,-33.04,-71.63,Hotel Ultramar
335,Narsaq,GL,59.0,broken clouds,60.92,-46.05,Hotel Narsaq
341,Beaverlodge,CA,60.8,broken clouds,55.22,-119.44,Side Trax Inn
344,Taufkirchen,DE,59.0,overcast clouds,48.04,11.62,Hotel NH München Unterhaching
349,Port Hardy,CA,62.6,broken clouds,50.7,-127.42,Airport Inn
353,Trelew,AR,44.87,clear sky,-43.25,-65.31,Hotel Touring Club
355,Ketchikan,US,57.2,broken clouds,55.34,-131.65,Snows Cove Lodge
356,Leh,IN,54.09,clear sky,34.17,77.58,Hotel Ladakh Greens
357,Lanzhou,CN,53.01,light rain,36.06,103.79,Lanzhou Amdo Xiangbala Hotel
358,Geraldton,AU,46.4,clear sky,-28.77,114.6,Broadwater Mariner Resort
360,Hualmay,PE,61.14,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
361,Santiago Del Estero,AR,61.92,overcast clouds,-27.8,-64.26,Hotel Urbano
363,Rio Grande,BR,60.01,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
371,Hofn,IS,50.04,overcast clouds,64.25,-15.21,Hótel Höfn
373,Paamiut,GL,46.11,broken clouds,61.99,-49.67,Yeet Hotel
375,Sechura,PE,64.33,clear sky,-5.56,-80.82,Hospedaje Costa Bella
376,Oktyabrskoye,RU,59.0,clear sky,43.06,44.74,Prolesok Mini-hotel
379,Husavik,IS,46.4,overcast clouds,66.04,-17.34,Bjarnabúð
382,Aklavik,CA,57.2,few clouds,68.22,-135.01,Aklavik Inn
385,Sandwick,GB,48.2,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
387,Vigrestad,NO,52.0,few clouds,58.57,5.7,Brusand Camping
388,Vallenar,CL,58.55,scattered clouds,-28.57,-70.76,Humacao Bed & Breakfast
390,Bremerhaven,DE,55.0,fog,53.55,8.58,City Hotel Schulz
392,Tawang,IN,55.35,broken clouds,27.58,91.87,Hotel Mount View
396,Liverpool,GB,51.01,scattered clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
399,Dongsheng,CN,55.29,light rain,39.82,109.98,Crowne Plaza Ordos
402,Maarianhamina,AX,51.8,few clouds,60.1,19.93,Park Alandia Hotel
405,Nemuro,JP,57.2,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
406,Yinchuan,CN,61.66,light rain,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
408,Dalby,AU,60.8,broken clouds,-27.18,151.27,Kobbers Motor Inn Dalby
409,Beni,CD,62.47,light rain,0.5,29.47,Albertine hotel
411,Ventspils,LV,62.6,scattered clouds,57.39,21.56,Jūras brīze
415,Priekule,LV,64.4,broken clouds,56.45,21.59,Cosy Cottage - Parka namiņš
417,Rawson,AR,45.19,clear sky,-43.3,-65.1,Hotel Punta León
