City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
73,Senaki,GE,42.27,42.07,62.6,93,0,5.82,clear sky
74,Jamestown,US,42.1,-79.24,66.0,72,75,17.22,broken clouds
75,Zhuhai,CN,22.28,113.57,88.0,79,20,5.82,few clouds
76,Hilo,US,19.73,-155.09,86.0,55,20,11.41,few clouds
77,Lata,PT,40.16,-8.33,62.01,83,0,10.0,clear sky
78,Iquique,CL,-20.22,-70.14,59.0,72,90,12.75,overcast clouds
79,Olga,RU,43.74,135.29,60.24,76,99,16.46,overcast clouds
80,Ancud,CL,-41.87,-73.82,43.0,83,25,1.01,scattered clouds
81,Palmer,US,42.16,-72.33,77.0,78,75,6.93,broken clouds
82,La Maddalena,IT,41.21,9.41,73.4,83,1,2.24,clear sky
83,Rio Gallegos,AR,-51.62,-69.22,41.0,78,40,28.86,scattered clouds
84,Georgetown,MY,5.41,100.34,78.8,94,20,1.12,few clouds
85,Makakilo City,US,21.35,-158.09,89.6,38,1,11.41,clear sky
86,Tuktoyaktuk,CA,69.45,-133.04,46.4,75,40,12.75,scattered clouds
87,Grand Gaube,MU,-20.01,57.66,70.0,75,7,8.99,clear sky
88,Cururupu,BR,-1.83,-44.87,76.53,87,2,5.44,clear sky
89,Sabang,ID,5.89,95.32,83.03,73,73,6.96,broken clouds
90,Kaka,TM,37.35,59.61,74.46,21,0,10.11,clear sky
91,Rocha,UY,-34.48,-54.33,48.87,83,100,14.47,overcast clouds
92,Ukiah,US,39.15,-123.21,90.0,33,1,4.7,haze
93,Breves,BR,-1.68,-50.48,78.93,74,19,4.88,few clouds
94,Felanitx,ES,39.47,3.15,66.2,93,40,2.24,scattered clouds
95,Kijang,KR,35.24,129.21,82.4,78,20,3.36,few clouds
96,Goundam,ML,16.41,-3.67,85.96,59,90,5.97,overcast clouds
97,Kieta,PG,-6.22,155.63,86.23,65,2,7.47,clear sky
98,Katsuura,JP,35.13,140.3,87.01,71,8,5.01,clear sky
99,Yar-Sale,RU,66.83,70.83,39.27,87,64,7.9,broken clouds
100,Wladyslawowo,PL,54.79,18.4,53.6,100,95,1.12,fog
101,Micheweni,TZ,-4.97,39.83,73.47,84,17,7.9,few clouds
102,Quatre Cocos,MU,-20.21,57.76,70.0,77,40,16.11,scattered clouds
103,Saint-Pierre,RE,-21.34,55.48,69.8,73,23,9.17,few clouds
104,Hovd,MN,48.01,91.64,51.46,65,77,4.56,broken clouds
105,Arlit,NE,18.74,7.39,89.51,45,46,11.83,light rain
106,Tasiilaq,GL,65.61,-37.64,44.6,65,100,12.75,light rain
107,Esso,RU,55.93,158.7,51.69,51,85,5.53,overcast clouds
108,Sioux Lookout,CA,50.1,-91.92,62.6,59,40,5.82,scattered clouds
109,Mount Isa,AU,-20.73,139.5,75.2,41,44,12.75,scattered clouds
110,Kaohsiung,TW,22.62,120.31,87.01,79,40,4.7,scattered clouds
111,Tiksi,RU,71.69,128.87,44.76,79,0,8.16,clear sky
